Id,Weekly_Sales
1_1_2012-11-02,19485.225
1_1_2012-11-09,19485.225
1_1_2012-11-16,19485.225
1_1_2012-11-23,19485.225
1_1_2012-11-30,19485.225
1_1_2012-12-07,19485.225
1_1_2012-12-14,19485.225
1_1_2012-12-21,19485.225
1_1_2012-12-28,19485.225
1_1_2013-01-04,19485.225
1_1_2013-01-11,12768.085
1_1_2013-01-18,19485.225
1_1_2013-01-25,19485.225
1_1_2013-02-01,19485.225
1_1_2013-02-08,19485.225
1_1_2013-02-15,19485.225
1_1_2013-02-22,23295.129999999997
1_1_2013-03-01,37437.83
1_1_2013-03-08,50452.985
1_1_2013-03-15,19630.530000000002
1_1_2013-03-22,21827.9
1_1_2013-03-29,21154.62
1_1_2013-04-05,21612.583333333332
1_1_2013-04-12,23072.670000000002
1_1_2013-04-19,35536.46
1_1_2013-04-26,33417.350000000006
1_1_2013-05-03,28762.37
1_1_2013-05-10,27877.283333333336
1_1_2013-05-17,24805.033333333336
1_1_2013-05-24,19485.225
1_1_2013-05-31,19485.225
1_1_2013-06-07,19485.225
1_1_2013-06-14,19485.225
1_1_2013-06-21,19485.225
1_1_2013-06-28,19485.225
1_1_2013-07-05,19485.225
1_1_2013-07-12,19485.225
1_1_2013-07-19,19485.225
1_1_2013-07-26,19485.225
1_2_2012-11-02,44004.03666666666
1_2_2012-11-09,44046.40333333334
1_2_2012-11-16,44046.40333333334
1_2_2012-11-23,50031.73
1_2_2012-11-30,44046.40333333334
1_2_2012-12-07,47498.753333333334
1_2_2012-12-14,48641.729999999996
1_2_2012-12-21,50207.625
1_2_2012-12-28,44046.40333333334
1_2_2013-01-04,44046.40333333334
1_2_2013-01-11,44046.40333333334
1_2_2013-01-18,44046.40333333334
1_2_2013-01-25,43841.835
1_2_2013-02-01,41605.244999999995
1_2_2013-02-08,42675.21
1_2_2013-02-15,41603.62
1_2_2013-02-22,50575.68
1_2_2013-03-01,47619.71666666667
1_2_2013-03-08,48565.475
1_2_2013-03-15,44046.40333333334
1_2_2013-03-22,50716.76
1_2_2013-03-29,46927.11666666667
1_2_2013-04-05,44046.40333333334
1_2_2013-04-12,43093.045
1_2_2013-04-19,46990.58666666667
1_2_2013-04-26,48952.46666666667
1_2_2013-05-03,44046.40333333334
1_2_2013-05-10,44046.40333333334
1_2_2013-05-17,44046.40333333334
1_2_2013-05-24,49202.155
1_2_2013-05-31,44046.40333333334
1_2_2013-06-07,44046.40333333334
1_2_2013-06-14,44046.40333333334
1_2_2013-06-21,47844.27
1_2_2013-06-28,49439.58
1_2_2013-07-05,44046.40333333334
1_2_2013-07-12,44046.40333333334
1_2_2013-07-19,46162.729999999996
1_2_2013-07-26,46752.12
1_3_2012-11-02,12818.519999999999
1_3_2012-11-09,18098.225
1_3_2012-11-16,22024.105
1_3_2012-11-23,10716.36
1_3_2012-11-30,30348.92333333333
1_3_2012-12-07,36503.95
1_3_2012-12-14,43712.78
1_3_2012-12-21,29795.85666666667
1_3_2012-12-28,12456.485
1_3_2013-01-04,10722.46
1_3_2013-01-11,13586.224999999999
1_3_2013-01-18,10722.46
1_3_2013-01-25,14867.095000000001
1_3_2013-02-01,13549.18
1_3_2013-02-08,12117.51
1_3_2013-02-15,10722.46
1_3_2013-02-22,10722.46
1_3_2013-03-01,10722.46
1_3_2013-03-08,10722.46
1_3_2013-03-15,10722.46
1_3_2013-03-22,10722.46
1_3_2013-03-29,10722.46
1_3_2013-04-05,10722.46
1_3_2013-04-12,10722.46
1_3_2013-04-19,10722.46
1_3_2013-04-26,10722.46
1_3_2013-05-03,10722.46
1_3_2013-05-10,10722.46
1_3_2013-05-17,10722.46
1_3_2013-05-24,10722.46
1_3_2013-05-31,10722.46
1_3_2013-06-07,10722.46
1_3_2013-06-14,10722.46
1_3_2013-06-21,10722.46
1_3_2013-06-28,10722.46
1_3_2013-07-05,10722.46
1_3_2013-07-12,10722.46
1_3_2013-07-19,10722.46
1_3_2013-07-26,10722.46
1_4_2012-11-02,34576.09
1_4_2012-11-09,34576.09
1_4_2012-11-16,34576.09
1_4_2012-11-23,40539.45333333333
1_4_2012-11-30,34576.09
1_4_2012-12-07,34576.09
1_4_2012-12-14,34576.09
1_4_2012-12-21,34576.09
1_4_2012-12-28,34576.09
1_4_2013-01-04,34576.09
1_4_2013-01-11,34576.09
1_4_2013-01-18,34576.09
1_4_2013-01-25,34576.09
1_4_2013-02-01,34576.09
1_4_2013-02-08,34576.09
1_4_2013-02-15,34576.09
1_4_2013-02-22,34576.09
1_4_2013-03-01,34576.09
1_4_2013-03-08,34576.09
1_4_2013-03-15,34168.67
1_4_2013-03-22,34576.09
1_4_2013-03-29,34576.09
1_4_2013-04-05,34576.09
1_4_2013-04-12,34576.09
1_4_2013-04-19,34576.09
1_4_2013-04-26,34576.09
1_4_2013-05-03,34576.09
1_4_2013-05-10,34576.09
1_4_2013-05-17,34576.09
1_4_2013-05-24,34576.09
1_4_2013-05-31,34323.189999999995
1_4_2013-06-07,34748.39000000001
1_4_2013-06-14,34576.09
1_4_2013-06-21,41057.37
1_4_2013-06-28,34576.09
1_4_2013-07-05,34576.09
1_4_2013-07-12,34576.09
1_4_2013-07-19,34576.09
1_4_2013-07-26,34576.09
1_5_2012-11-02,17624.42
1_5_2012-11-09,17624.42
1_5_2012-11-16,15994.853333333333
1_5_2012-11-23,16926.17
1_5_2012-11-30,17624.42
1_5_2012-12-07,16498.866666666665
1_5_2012-12-14,17624.42
1_5_2012-12-21,19524.335
1_5_2012-12-28,17624.42
1_5_2013-01-04,17624.42
1_5_2013-01-11,17624.42
1_5_2013-01-18,17624.42
1_5_2013-01-25,17624.42
1_5_2013-02-01,17624.42
1_5_2013-02-08,18868.245
1_5_2013-02-15,21747.559999999998
1_5_2013-02-22,30605.809999999998
1_5_2013-03-01,33144.23
1_5_2013-03-08,34593.61666666667
1_5_2013-03-15,17624.42
1_5_2013-03-22,27542.346666666665
1_5_2013-03-29,23565.166666666668
1_5_2013-04-05,29345.72
1_5_2013-04-12,32207.010000000002
1_5_2013-04-19,22392.09
1_5_2013-04-26,25389.95
1_5_2013-05-03,17582.806666666667
1_5_2013-05-10,20704.495
1_5_2013-05-17,17170.39
1_5_2013-05-24,17624.42
1_5_2013-05-31,17624.42
1_5_2013-06-07,17056.45
1_5_2013-06-14,17008.083333333332
1_5_2013-06-21,19890.51
1_5_2013-06-28,21739.693333333333
1_5_2013-07-05,20577.535
1_5_2013-07-12,21695.68666666667
1_5_2013-07-19,19453.823333333334
1_5_2013-07-26,19307.823333333334
1_6_2012-11-02,2965.6499999999996
1_6_2012-11-09,3439.9049999999997
1_6_2012-11-16,3386.435
1_6_2012-11-23,6253.925
1_6_2012-11-30,3124.83
1_6_2012-12-07,3439.9049999999997
1_6_2012-12-14,3104.0033333333326
1_6_2012-12-21,3439.9049999999997
1_6_2012-12-28,4385.586666666666
1_6_2013-01-04,3439.9049999999997
1_6_2013-01-11,3439.9049999999997
1_6_2013-01-18,3439.9049999999997
1_6_2013-01-25,1376.15
1_6_2013-02-01,2408.3900000000003
1_6_2013-02-08,6253.925
1_6_2013-02-15,3439.9049999999997
1_6_2013-02-22,3439.9049999999997
1_6_2013-03-01,3439.9049999999997
1_6_2013-03-08,4772.37
1_6_2013-03-15,3439.9049999999997
1_6_2013-03-22,4856.21
1_6_2013-03-29,3439.9049999999997
1_6_2013-04-05,3439.9049999999997
1_6_2013-04-12,3439.9049999999997
1_6_2013-04-19,3439.9049999999997
1_6_2013-04-26,3439.9049999999997
1_6_2013-05-03,3439.9049999999997
1_6_2013-05-10,3439.9049999999997
1_6_2013-05-17,3439.9049999999997
1_6_2013-05-24,6067.9400000000005
1_6_2013-05-31,4906.506666666667
1_6_2013-06-07,4689.106666666667
1_6_2013-06-14,5868.97
1_6_2013-06-21,3439.9049999999997
1_6_2013-06-28,3439.9049999999997
1_6_2013-07-05,3439.9049999999997
1_6_2013-07-12,3439.9049999999997
1_6_2013-07-19,3439.9049999999997
1_6_2013-07-26,3439.9049999999997
1_7_2012-11-02,15957.033333333333
1_7_2012-11-09,15957.033333333333
1_7_2012-11-16,15957.033333333333
1_7_2012-11-23,15957.033333333333
1_7_2012-11-30,15957.033333333333
1_7_2012-12-07,15957.033333333333
1_7_2012-12-14,14528.470000000001
1_7_2012-12-21,15957.033333333333
1_7_2012-12-28,15156.119999999999
1_7_2013-01-04,15957.033333333333
1_7_2013-01-11,15957.033333333333
1_7_2013-01-18,15957.033333333333
1_7_2013-01-25,14946.96
1_7_2013-02-01,10283.64
1_7_2013-02-08,9845.67
1_7_2013-02-15,15957.033333333333
1_7_2013-02-22,15957.033333333333
1_7_2013-03-01,15957.033333333333
1_7_2013-03-08,15957.033333333333
1_7_2013-03-15,15957.033333333333
1_7_2013-03-22,15957.033333333333
1_7_2013-03-29,15957.033333333333
1_7_2013-04-05,15957.033333333333
1_7_2013-04-12,15957.033333333333
1_7_2013-04-19,15957.033333333333
1_7_2013-04-26,23101.966666666664
1_7_2013-05-03,15957.033333333333
1_7_2013-05-10,15957.033333333333
1_7_2013-05-17,15957.033333333333
1_7_2013-05-24,15957.033333333333
1_7_2013-05-31,15957.033333333333
1_7_2013-06-07,15957.033333333333
1_7_2013-06-14,32791.784999999996
1_7_2013-06-21,38066.3
1_7_2013-06-28,26188.03
1_7_2013-07-05,28224.163333333334
